pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.15234974887113,-8.82150762225237,86932814.371267,137716483.61798,2020-10-02 16:14:43.029000+00:00,2022-04-29 16:14:44.010000+00:00,,,204.3563995361328,200.274963,no_match,,,,,False
-71.49352989377972,-8.588933795193824,87612830.613903,149066953.918015,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-14.256768859829222,-11.368942243307899,148.649063,0.17149099707603455,ok,3.0,21.0,3.0,edge,False
-71.454992168091,-8.60941538367176,87612831.006443,149066954.314687,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-12.954647216454873,-12.22803847208688,312.149048,242.320358,ok,22.0,22.0,22.0,timing,False
-71.48463657246694,-8.529914481027177,87612829.737864,149066953.046107,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-10.50965994166694,-18.953812097727734,149.418488,0.015135999768972397,ok,22.0,22.0,22.0,timing,False
-71.48598404539312,-8.590281268120009,87612830.758523,149066954.062635,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-11.667804936230837,-12.511339447169291,128.776245,53.407432556152344,ok,14.0,22.0,21.0,edge,False
-71.45472267350576,-8.609954372842225,87612831.014707,149066954.322951,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-14.91398636690171,-13.667207216827023,472.876343,14.42859172821045,ok,22.0,22.0,22.0,timing,False
-71.49002646417166,-8.58435238724482,87612830.642827,149066953.946939,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-14.461343582754722,-17.148956977236708,167.356354,25.593944549560547,ok,1.0,22.0,22.0,edge,False
-71.24936779955604,-8.891845708998929,87612836.59324,149066959.918012,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,30.081924438476562,0.06978099793195724,no_match,,,,,False
-71.2377795323909,-8.878101485151902,87612836.510601,149066959.835372,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,24.065134048461914,45.936283111572266,no_match,,,,,False
-71.24802032662986,-8.894001665680818,87612836.63456,149066959.959332,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,78.55672454833984,0.7889289855957031,no_match,,,,,False
-71.25314072374934,-8.919064662107758,87612837.142796,149066960.471732,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,212.457855,36.390525817871094,no_match,,,,,False
